clase,area_km2,proporcion
Bosques muy h£medos y pluviales,5549.358310047,73.6317852632417
Bosques h£medos,1059.271784488,14.0549714423055
Sin informaci¢n,352.918715464,4.68270989555264
Cultivos permanentes,312.314437982,4.14395112863164
Pastizales,223.010142653,2.95901508209001
Cultivos anuales,31.641731697,0.419839027055162
Suelos desnudos,6.027631536,0.0799777642941454
Areas urbanas,1.784730134,0.0236807318319317
Humedales,0.306715764,0.00406966499726846
