fid,DN,Area
338,"1",756.609
339,"1",1345.084
340,"1",3278.638
341,"1",10424.403
342,"1",420.339
343,"1",604102.270
344,"1",504.408
345,"1",84.068
346,"1",588.478
347,"1",10256.335
348,"1",168.137
349,"1",336.274
350,"1",84.069
351,"1",504.412
352,"1",252.206
353,"1",336.275
354,"1",924.756
355,"1",84.069
356,"1",84.069
357,"1",174357.541
358,"1",588.483
359,"1",84.069
360,"1",7902.494
361,"1",336.276
362,"1",1345.106
363,"1",588.485
364,"1",84.069
365,"1",71962.983
366,"1",168.139
367,"1",84.069
368,"1",84.069
369,"1",1345.111
370,"1",336.278
371,"1",84.070
372,"1",84.070
373,"1",6137.066
374,"1",168.139
375,"1",56494.671
376,"1",588.488
377,"1",84.070
378,"1",336.279
379,"1",336.280
380,"1",84.070
381,"1",84.070
382,"1",84.070
383,"1",910215.595
384,"1",9415.866
385,"1",84.070
386,"1",840.704
387,"1",168.141
388,"1",84.071
389,"1",84.072
390,"1",1092.938
391,"1",336.289
392,"1",336.289
393,"1",252.217
394,"1",588.507
395,"1",336.290
396,"1",2606.250
397,"1",168.145
398,"1",840.727
399,"1",336.291
400,"1",1849.603
401,"1",588.510
402,"1",84.073
403,"1",84.073
404,"1",433050.647
405,"1",1681.462
406,"1",840.732
407,"1",84.073
408,"1",84.073
409,"1",588.513
410,"1",336.294
411,"1",84.074
412,"1",504.441
413,"1",3026.653
414,"1",924.813
415,"1",336.296
416,"1",84.074
417,"1",84.074
418,"1",4371.868
419,"1",336.298
420,"1",84.074
421,"1",84.075
422,"1",84.075
423,"1",84.075
424,"1",84.075
425,"1",84.075
426,"1",84.075
427,"1",84.075
428,"1",84.075
429,"1",8155.269
430,"1",6641.909
431,"1",2354.103
432,"1",84.075
433,"1",84.075
434,"1",84.075
435,"1",5633.048
436,"1",336.301
437,"1",84.075
438,"1",84.075
439,"1",84.075
440,"1",336.302
441,"1",336.302
442,"1",84.075
443,"1",9164.205
444,"1",1681.512
445,"1",84.075
446,"1",84.076
447,"1",117368.885
448,"1",156379.469
449,"1",1849.663
450,"1",1933.741
451,"1",5548.994
452,"1",252.227
453,"1",168.152
454,"1",7903.124
455,"1",1597.442
456,"1",54648.761
457,"1",106859.211
458,"1",1261.137
459,"1",3867.480
460,"1",1345.214
461,"1",588.531
462,"1",588.532
463,"1",6473.830
464,"1",1345.215
465,"1",3447.113
466,"1",84.076
467,"1",84.076
468,"1",84.076
469,"1",588.533
470,"1",168.152
471,"1",4876.416
472,"1",84.076
473,"1",84.076
474,"1",84.076
475,"1",588.534
476,"1",336.305
477,"1",924.840
478,"1",840.765
479,"1",336.306
480,"1",84.076
481,"1",5212.740
482,"1",18076.406
483,"1",1933.761
484,"1",1849.684
485,"1",84.077
486,"1",336.306
487,"1",336.306
488,"1",84.077
489,"1",2017.840
490,"1",84.077
491,"1",252.230
492,"1",84.077
493,"1",504.461
494,"1",84.077
495,"1",336.307
496,"1",588.538
497,"1",84.077
498,"1",252.231
499,"1",84.077
500,"1",336.308
501,"1",336.308
502,"1",1597.464
503,"1",336.309
504,"1",588.540
505,"1",336.309
506,"1",84.077
507,"1",84.077
508,"1",336.309
509,"1",84.077
510,"1",168.155
511,"1",17740.270
512,"1",84.077
513,"1",336.309
514,"1",3927524.192
515,"1",130991.299
516,"1",336.310
517,"1",168.155
518,"1",84.078
519,"1",336.311
520,"1",123761.942
521,"1",6810.292
522,"1",84.078
523,"1",84.078
524,"1",3867.577
525,"1",168.156
526,"1",8660.010
527,"1",1429.325
528,"1",336.312
529,"1",84.078
530,"1",84.078
531,"1",84.078
532,"1",84.078
533,"1",84.078
534,"1",1275343.561
535,"1",1093.017
536,"1",336.313
537,"1",84.078
538,"1",1597.487
539,"1",336.313
540,"1",2354.194
541,"1",336.314
542,"1",588.549
543,"1",252.236
544,"1",84.078
545,"1",84.078
546,"1",84.078
547,"1",84.079
548,"1",84.079
549,"1",336.314
550,"1",3110.911
551,"1",168.157
552,"1",84.079
553,"1",168.158
554,"1",84.079
555,"1",84.079
556,"1",84.079
557,"1",252.236
558,"1",84.079
559,"1",45738.717
560,"1",336.315
561,"1",336.316
562,"1",84.079
563,"1",10846.200
564,"1",672.632
565,"1",2606.450
566,"1",84.079
567,"1",336.317
568,"1",9080.533
569,"1",588.554
570,"1",504.475
571,"1",84.079
572,"1",252.238
573,"1",84.079
574,"1",17236.207
575,"1",1681.588
576,"1",672.635
577,"1",84.079
578,"1",84.079
579,"1",84.079
580,"1",84.080
581,"1",84.080
582,"1",84.080
583,"1",84.080
584,"1",1345.275
585,"1",84.080
586,"1",336.319
587,"1",84.080
588,"1",336.320
589,"1",588.561
590,"1",924.881
591,"1",84.080
592,"1",1681.605
593,"1",1974279.765
594,"1",1681.605
595,"1",1093.044
596,"1",168.161
597,"1",336.322
598,"1",84.080
599,"1",84.080
600,"1",84.081
601,"1",252.242
602,"1",84.081
603,"1",84.081
604,"1",336.322
605,"1",84.081
606,"1",168.161
607,"1",19506.661
608,"1",168.161
609,"1",1597.533
610,"1",504.485
611,"1",84.081
612,"1",84.081
613,"1",168.162
614,"1",84.081
615,"1",84.081
616,"1",84.081
617,"1",84.081
618,"1",168.163
619,"1",84.081
620,"1",84.081
621,"1",406610.298
622,"1",84.081
623,"1",84.081
624,"1",588.570
625,"1",84.081
626,"1",1345.304
627,"1",84.082
