fid,DN,Area,AreaHa
1613,"1",16826.674,1.683
1620,"1",11105.644,1.111
1635,"1",80347.482,8.035
1637,"1",27427.573,2.743
1639,"1",39542.875,3.954
1646,"1",25744.857,2.574
1647,"1",2674124.950,267.412
1671,"1",1304636.754,130.464
1678,"1",76562.195,7.656
1679,"1",15649.020,1.565
1681,"1",12788.432,1.279
1704,"1",13040.851,1.304
1734,"1",179543.341,17.954
1736,"1",58642.095,5.864
1747,"1",23053.014,2.305
1758,"1",38365.590,3.837
1759,"1",16995.352,1.700
1769,"1",52836.904,5.284
1775,"1",23305.569,2.331
1782,"1",17247.854,1.725
1783,"1",19771.931,1.977
1800,"1",23978.763,2.398
1802,"1",43666.597,4.367
1808,"1",11863.200,1.186
1830,"1",11610.831,1.161
1831,"1",27428.511,2.743
1868,"1",12031.578,1.203
1876,"1",25156.958,2.516
1877,"1",46191.060,4.619
1881,"1",15649.493,1.565
1901,"1",81865.285,8.187
1902,"1",173237.106,17.324
1904,"1",83295.174,8.330
1912,"1",13209.594,1.321
1921,"1",25073.088,2.507
1932,"1",11611.050,1.161
1935,"1",19435.900,1.944
1936,"1",131001.992,13.100
1952,"1",25325.576,2.533
1957,"1",1986283.904,198.628
1977,"1",65796.075,6.580
1991,"1",15313.220,1.531
1996,"1",31972.557,3.197
2004,"1",38619.635,3.862
2006,"1",119643.915,11.964
2008,"1",26251.276,2.625
2039,"1",515593.714,51.559
2043,"1",15649.857,1.565
2061,"1",58055.945,5.806
2074,"1",130330.640,13.033
2078,"1",246946.391,24.695
2082,"1",11611.221,1.161
2087,"1",27850.183,2.785
2088,"1",16659.595,1.666
2090,"1",34833.674,3.483
2092,"1",20530.022,2.053
2102,"1",15902.400,1.590
2103,"1",11695.426,1.170
2104,"1",14556.133,1.456
2105,"1",10265.044,1.027
2117,"1",19941.149,1.994
2118,"1",16996.237,1.700
2129,"1",1739974.818,173.997
2130,"1",40387.104,4.039
2131,"1",11863.714,1.186
2132,"1",207320.011,20.732
2152,"1",61421.781,6.142
2162,"1",329320.177,32.932
2169,"1",11695.508,1.170
2171,"1",15565.899,1.557
2186,"1",14051.463,1.405
2188,"1",17417.088,1.742
2204,"1",1525404.490,152.540
2208,"1",12200.408,1.220
2218,"1",178544.838,17.854
2219,"1",88346.575,8.835
2233,"1",167018.505,16.702
2245,"1",11948.019,1.195
2256,"1",11106.639,1.111
2261,"1",37442.666,3.744
2265,"1",32394.332,3.239
2273,"1",15313.709,1.531
2283,"1",21035.335,2.104
2299,"1",1918475.622,191.848
2301,"1",16996.561,1.700
2302,"1",22886.473,2.289
2330,"1",21540.318,2.154
2333,"1",14304.094,1.430
2350,"1",39967.292,3.997
2398,"1",38789.479,3.879
2399,"1",38957.757,3.896
2420,"1",133028.729,13.303
2421,"1",21708.714,2.171
2427,"1",15734.550,1.573
2442,"1",90789.233,9.079
2449,"1",19184.432,1.918
2452,"1",157934.117,15.793
2453,"1",130503.517,13.050
2514,"1",165002.800,16.500
2515,"1",15482.311,1.548
2519,"1",13546.997,1.355
